"","Daucus.carota.carota","Sonchus.tenerrinus","Carpobrotus.sp1.M_PL_058","Opuntia.stricta","Cistus.monspeliensis","Lavandula.stoechas","Cistus.salvifolius","Cistus.albidus","Urospermum.picrioides","Rosmarinus.officinalis","Aetheorrina.bulbosa","Galactites.tomentosa","Eryngium.campestre","Convolvulus.althaeoides","Scabiosa.stellata","Sedum.sediforme","Thymelaea.hirusta","Ruta.chalepensis","Helichrysum.stoechas","Psoralea.bituminosa","Dorychnium.pentaphylum","Alyssum.maritimum","Helianthemum.guttatum","Lathyrus.clymenum","Equium.sabulicola","Euphorbia.segatalis","Allium.ampeloprasum","Brassica.fruticulosa","Dianthus.caryophillus","Hypericum.perfolatum","Linum.sp1.M_PL_058","Vicea.lutea"
"Zygaena sp1 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,20.9784411551829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerceris sp1 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9665434217302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eucera sp1 M_PL_058",0,0,-1.03439787586834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helorus coruscus",0,0,0,0,0,0,0,0,-10.2869786265611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus variegatus",0,0,0,0,-3.40219135184452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lassiopogon sp1 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255.49956644829,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile sp1 M_PL_058",0,0,0,0,0,0,0,-6.29567802658706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papilion machaon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.1054889659995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pieris rapae ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.1054889659994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyronia tithonus ",0,0,0,0,0,0,0,0,0,0,0,-92.188938239006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stenopterus rufus",-1.0733553779057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp36 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,0,-17.2922279665079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp44 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5849848923646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp47 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.1054889659997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp48 M_PL_058",0,-1.35119393968318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp50 M_PL_058",0,-1.35119393968318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp51 M_PL_058",-1.07335537790571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp52 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.1054889660002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp54 M_PL_058",0,0,-1.03439787586834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp55 M_PL_058",-1.07335537790571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp56 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99851812279611104,0,0,0,0,0
"Unidentified sp57 M_PL_058",0,0,0,0,0,-1.67331179993908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp58 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9665434217302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp59 M_PL_058",-1.07335537790571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp60 M_PL_058",0,0,0,0,0,-1.67331179993908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp63 M_PL_058",0,0,-1.03439787586834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
