"","Dryas sp1 M_PL_014","Salix sp1 M_PL_014","Saxifraga oppositifolia","Potentilla sp1 M_PL_014","Lychnis triflora","Papaver sp1 M_PL_014","Stellaria sp1 M_PL_014","Epilobium sp1 M_PL_014","Lesquerella arctica","Cassiope tetragona","Cerastium alpinum","Erysimum sp1 M_PL_014","Saxifraga tricuspidata","Taraxacum sp1 M_PL_014","Arnica sp1 M_PL_014","Draba bellii","Saxifraga hirculus","Braya sp1 M_PL_014","Cerastium arcticum","Draba cinerea","Draba oblongata","Erigeron sp1 M_PL_014","Pedicularis capitata","Pedicularis sp1 M_PL_014","Polygonum viviparum","Saxifraga cernua","Saxifraga flagellaris","Saxifraga sp1 M_PL_014","Silene sp1 M_PL_014"
"Phaladrodira nigropilosa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Procladius sp1 M_PL_014",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psectrocladius barbatimanus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudodiamesa arctica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhyncaenus sp1 M_PL_014",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scatophaga nigripalpis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spilogona almquisti",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spilogona deflorata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spilogona tundrae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sympistris labradoris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tanytarsus niger",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tipula arctica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Unidentified sp6 M_PL_014",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
