"","Salix repens","Calluna vulgaris","Potentilla erecta","Solidago virgaurea","Erica tetralix","Vaccinium uliginosum","Hypochoeris radicata","Galium saxatile","Vaccinium vitis-idaea","Hieracium umbellatum","Vaccinium myrtillus","Scorzonea humilis","Genista anglica","Trientalis europaea","Salix aurita","Campanula rotundifolia","Hieracium pilosella","Empetrum nigrum","Epilobium angustifolium"
"Morellia aenescens",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomyia cornicina",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nomada flava",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nomada ruficornis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nomada rufipes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oedemera lurida",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orthonerva geniculata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxybelus mandibularis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phaonia pallida",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phaonia serva",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poecilobothrus nobilitatus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Pollenia angustigena",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pollenia rudis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potosia cuprea",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prosternon tessellatum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rhagonycha fulva",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamphomyia sp1 M_PL_047",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scaeva pyrastri",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sciara sp1 M_PL_047",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerophoria philanthus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Sphecodes ephippius",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphecodes geoffrellus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphecodes pellucidus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphecodes sp1 M_PL_047",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tachina grossa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_047",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp10 M_PL_047",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp11 M_PL_047",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp12 M_PL_047",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp13 M_PL_047",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp14 M_PL_047",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp15 M_PL_047",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_047",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_047",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp6 M_PL_047",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_047",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp9 M_PL_047",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zygaena trifolii",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
